Type de ticket,Priorité,Nombre de Champs personnalisés (Participants),Annee,Jour,Mois,Nombre de Composants,Nombre de Versions corrigées,Nb_heures,Type de Version
Tâche,1,1,2022,0,3,1,0,2,Majeur
Tâche,1,1,2022,6,3,1,0,2,Majeur
Tâche,1,1,2022,0,2,1,0,20,Majeur
Tâche,1,1,2022,3,1,1,0,4,Majeur
Tâche,1,1,2022,2,1,1,0,6,Majeur
Tâche,1,1,2022,6,1,1,0,20,Majeur
Bug,1,2,2021,4,12,0,0,71,Majeur
Bug,3,2,2021,1,11,0,0,53,Majeur
Tâche,1,1,2021,3,11,1,0,17,Majeur
Tâche,1,1,2021,0,7,1,0,7,Majeur
Tâche,1,2,2021,3,7,1,0,49,Majeur
Bug,3,2,2021,6,7,1,0,57,Majeur
Tâche,1,2,2021,4,6,1,0,81,Majeur
Tâche,1,1,2021,0,2,1,0,5,Majeur
Tâche,1,2,2021,4,1,1,0,11,Majeur
Tâche,1,2,2021,2,1,1,0,82,Majeur
Tâche,1,1,2021,1,1,1,0,7,Majeur
Amélioration,3,2,2020,4,12,1,0,52,Majeur
Tâche,1,1,2020,4,11,1,0,29,Majeur
Bug,3,2,2020,4,10,1,0,51,Majeur
Tâche,1,1,2020,1,10,1,0,3,Majeur
Tâche,1,2,2020,1,10,1,0,87,Majeur
Tâche,1,2,2020,6,10,1,0,93,Majeur
Bug,4,3,2020,4,9,0,0,24,Majeur
Tâche,1,1,2020,1,9,1,0,16,Majeur
Tâche,1,1,2020,0,9,1,0,8,Majeur
Tâche,1,1,2020,4,8,1,0,19,Majeur
Tâche,1,2,2020,0,8,1,0,109,Majeur
Tâche,1,2,2020,4,7,1,0,107,Majeur
Tâche,1,1,2020,4,7,1,0,17,Majeur
Tâche,1,2,2020,3,7,1,0,69,Majeur
Amélioration,1,1,2020,3,7,1,0,25,Majeur
Tâche,1,2,2020,1,6,1,0,77,Majeur
Tâche,1,2,2020,0,6,1,0,105,Majeur
Tâche,1,1,2020,1,6,1,0,11,Majeur
Nouvelle fonctionnalité,3,2,2020,2,5,1,0,50,Majeur
Tâche,1,2,2020,1,5,1,0,34,Majeur
Tâche,1,1,2020,0,5,1,0,21,Majeur
Tâche,1,2,2020,4,4,1,0,36,Majeur
Tâche,1,2,2020,1,3,1,0,8,Majeur
Tâche,1,2,2020,3,3,1,0,78,Majeur
Tâche,1,1,2020,6,3,1,0,18,Majeur
Tâche,1,1,2020,5,2,1,0,15,Majeur
Tâche,1,1,2020,4,2,1,0,8,Majeur
Tâche,1,1,2020,6,2,1,0,5,Majeur
Tâche,1,2,2020,5,2,1,0,49,Majeur
