Résumé,Clé de ticket,ID de ticket,ID parent,Type de ticket,État,Clé de projet,Nom du projet,Type de projet,Chef de projet,ID de responsable de projet,Description du projet,URL du projet,Priorité,Résolution,Responsable,ID de responsable,Rapporteur,ID de rapporteur,Créateur,ID de créateur,Création,Mise à jour,Dernier affichage,Résolu,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions affectées,Versions corrigées,Versions corrigées,Versions corrigées,Versions corrigées,Versions corrigées,Versions corrigées,Versions corrigées,Versions corrigées,Versions corrigées,Composants,Composants,Composants,Composants,Votes,Étiquettes,Étiquettes,Étiquettes,Étiquettes,Étiquettes,Description,Environnement,Observateurs,ID des personnes en charge du suivi,Estimation originale,Estimation restante,Temps consacré,Ratio du travail réel comparé à l'estimation,Σ Estimation originale,Σ Estimation restante,Σ Temps consacré,Niveau de sécurité,Lien de ticket sortant (Blocks),Lien de ticket sortant (Cause),Lien de ticket sortant (Cause),Lien de ticket sortant (Cloners),Lien de ticket sortant (Duplicate),Lien de ticket sortant (Duplicate),Lien de ticket sortant (Fix),Lien de ticket sortant (Follow Up),Lien de ticket sortant (Follow Up),Lien de ticket sortant (Follow Up),Lien de ticket sortant (Prerequisite),Lien de ticket sortant (Prerequisite),Lien de ticket sortant (Relates),Lien de ticket sortant (Relates),Lien de ticket sortant (Relates),Lien de ticket sortant (Relates),Lien de ticket sortant (Relates),Pièce jointe,Pièce jointe,Pièce jointe,Pièce jointe,Pièce jointe,Champs personnalisés (Bug Testcase Reminder (view)),Champs personnalisés (Business Value),Champs personnalisés (Développement),Champs personnalisés (Epic Color),Champs personnalisés (Epic Link),Champs personnalisés (Epic Name),Champs personnalisés (Epic Status),Champs personnalisés (Estimation en story points),Champs personnalisés (Feedback Requested),Champs personnalisés (Feedback Requested By),Champs personnalisés (Feedback Requested By)ID,Champs personnalisés (Issue color),Champs personnalisés (Last commented by a user?),Champs personnalisés (Number of Attachments),Champs personnalisés (Participants),Champs personnalisés (Participants),Champs personnalisés (Participants),Champs personnalisés (Participants),Champs personnalisés (Participants),Champs personnalisés (Participants),Champs personnalisés (Participants),Champs personnalisés (Patch Reminder (view)),Champs personnalisés (Pull Request),Champs personnalisés (Rank),Champs personnalisés (Request Type),Champs personnalisés (Request participants),Champs personnalisés (Requires Release Note),Niveau de satisfaction,Champs personnalisés (Sortable Priority),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Champs personnalisés (Start date),Champs personnalisés (Story Points),Champs personnalisés (Suitable for new contributors),Champs personnalisés (Target end),Champs personnalisés (Target start),Champs personnalisés (Team),Champs personnalisés (Worked in),Champs personnalisés ([CHART] Date of First Response),Champs personnalisés (backPortable),Champs personnalisés (backportDecision),Champs personnalisés (backportReEvaluate),Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,Catégorie d'état,Parent,Parent summary
Upgrade -orm6 artifacts to Hibernate ORM 6.0.0.CR2,HSEARCH-4509,72060,,Tâche,Résolu,HSEARCH,Hibernate Search,software,Yoann Rodière,557058:58fa1ced-171a-4c00-97e8-5d70d442cc4b,Hibernate Search: Apache Lucene(tm) and Elasticsearch integration,http://hibernate.org/search/,Important,Corrigé,Yoann Rodière,557058:58fa1ced-171a-4c00-97e8-5d70d442cc4b,Yoann Rodière,557058:58fa1ced-171a-4c00-97e8-5d70d442cc4b,Yoann Rodière,557058:58fa1ced-171a-4c00-97e8-5d70d442cc4b,14/mars/2022 01:30 AM,14/mars/2022 07:39 AM,14/mars/2022 12:54 PM,14/mars/2022 07:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1.2.Final,6.2.0.Alpha1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=2}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":2,""lastUpdated"":""2022-03-14T07:39:28.000-0700"",""stateCount"":2,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":2,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,true,0.0,yrodiere(fenrhil),,,,,,,,https://github.com/hibernate/hibernate-search/pull/2942,0|104xn3:zzy,,,,,,HSEARCH - 2022-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminé,,
PooledOptimizer generates duplicate ids when several JVMs initialize optimizer and sequence value is the initial value,HHH-15118,72058,,Bug,Ouvert,HHH,Hibernate ORM,software,Steve Ebersole,557058:aafa2e9a-7a21-4c62-bf4a-050acb31276c,"Project for tracking issues with Hibernate ORM, from version 3 onward. ",http://www.hibernate.org/orm/,Important,,Guillaume Chapel,557058:9ab9d183-2e4c-4c02-b973-6de1e63d0739,Guillaume Chapel,557058:9ab9d183-2e4c-4c02-b973-6de1e63d0739,Guillaume Chapel,557058:9ab9d183-2e4c-4c02-b973-6de1e63d0739,11/mars/2022 13:17 PM,11/mars/2022 13:17 PM,14/mars/2022 10:59 AM,,5.4.0,5.5.0,5.6.0,6.0.0.CR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hibernate-core,,,,0,core,,,,,"Hello,

I have overlapping ids with PooledOptimizer when :

* the sequence value is the initial value (1 in the following example)
* several JVMs initialize its optimizer for the first time (hiValue = null) in the same time

In this context, we may have JVMs that generate duplicate ids. Here the explanation :



!pooledOptimizer-overlaping.drawio.png|width=798,height=571!

!code-way.png|width=584,height=443!

There are two ways to fix that :

# Don't call nextval() again, but intialize optimizer values like this -> hiValue = value. The next generate() will necessarily request a new fresh range of ids (nextval)
# Call another time nextval (like the function generate() currently do), but we need to check that the new value generated from the sequence is the one we expected (i.e. there is no gap due to an external nextval).

In the PR, I chose the first solution : simpliest to implement and to understand. I can implement solution 2 if needed

Regards,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/mars/2022 13:17 PM;ug:3d5e12fb-6a95-4ac6-8577-8fe819ae4a0d;code-way.png;https://hibernate.atlassian.net/secure/attachment/49977/code-way.png,11/mars/2022 13:17 PM;ug:3d5e12fb-6a95-4ac6-8577-8fe819ae4a0d;pooledOptimizer-overlaping.drawio.png;https://hibernate.atlassian.net/secure/attachment/49978/pooledOptimizer-overlaping.drawio.png,,,,Bug reports should generally be accompanied by [a test case|https://github.com/hibernate/hibernate-test-case-templates]!,,"{pullrequest={dataType=pullrequest, state=OPEN, stateCount=2}, build={count=1, dataType=build, failedBuildCount=0, successfulBuildCount=0, unknownBuildCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":2,""lastUpdated"":""2022-03-11T13:42:16.000-0800"",""stateCount"":2,""state"":""OPEN"",""dataType"":""pullrequest"",""open"":true},""byInstanceType"":{""GitHub"":{""count"":2,""name"":""GitHub""}}},""build"":{""overall"":{""count"":1,""lastUpdated"":null,""failedBuildCount"":0,""successfulBuildCount"":0,""unknownBuildCount"":1,""dataType"":""build""},""byInstanceType"":{""cloud-providers"":{""count"":1,""name"":""Other providers""}}}}},""isStale"":true}}",,,,,,,,,,true,2.0,ug:3d5e12fb-6a95-4ac6-8577-8fe819ae4a0d(ug:3d5e12fb-6a95-4ac6-8577-8fe819ae4a0d),,,,,,,,,0|104yig:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A faire,,
ConstraintViolationException is thrown using same @SecondaryTable on two entities,HHH-15117,72057,,Bug,Ouvert,HHH,Hibernate ORM,software,Steve Ebersole,557058:aafa2e9a-7a21-4c62-bf4a-050acb31276c,"Project for tracking issues with Hibernate ORM, from version 3 onward. ",http://www.hibernate.org/orm/,Critique,,Andrea Boriero,557058:8ce9ebec-e8f7-4cb9-b414-ea2ae49591e3,bberto,557058:cf89539d-dd3f-42d1-9622-62b097471611,bberto,557058:cf89539d-dd3f-42d1-9622-62b097471611,11/mars/2022 08:31 AM,14/mars/2022 02:44 AM,14/mars/2022 12:54 PM,,5.6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hibernate-core,,,,0,,,,,,"Using the same SecondaryTable both on a parent and a child entity, you get a constraint violation cause HIbernate tries to perform two inserts with same id.

Expected behaviour: an update should be used instead of the second insert

Motivation: this is useful when a mix of SINGLE_TABLE / JOINED inheritance strategy is required. On the provided test case, parent entity A should have its own table, while childs B an C should sare the same one.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/mars/2022 08:31 AM;ug:01f798f2-af16-4cd5-81d8-fa886c9e881a;test-case.zip;https://hibernate.atlassian.net/secure/attachment/49976/test-case.zip,,,,,Bug reports should generally be accompanied by [a test case|https://github.com/hibernate/hibernate-test-case-templates]!,,"{pullrequest={dataType=pullrequest, state=OPEN, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2022-03-14T02:51:11.000-0700"",""stateCount"":1,""state"":""OPEN"",""dataType"":""pullrequest"",""open"":true},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,true,1.0,dreab8(dreab8),ug:01f798f2-af16-4cd5-81d8-fa886c9e881a(ug:01f798f2-af16-4cd5-81d8-fa886c9e881a),,,,,,,,0|104yi8:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A faire,,
Document the equivalent of aws.* properties in the Search 5 => Search 6 migration guide,HSEARCH-4508,72055,,Tâche,Ouvert,HSEARCH,Hibernate Search,software,Yoann Rodière,557058:58fa1ced-171a-4c00-97e8-5d70d442cc4b,Hibernate Search: Apache Lucene(tm) and Elasticsearch integration,http://hibernate.org/search/,Important,,Yoann Rodière,557058:58fa1ced-171a-4c00-97e8-5d70d442cc4b,Yoann Rodière,557058:58fa1ced-171a-4c00-97e8-5d70d442cc4b,Yoann Rodière,557058:58fa1ced-171a-4c00-97e8-5d70d442cc4b,10/mars/2022 23:55 PM,10/mars/2022 23:59 PM,14/mars/2022 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0.9.Final,,,,,,,,,backend-elasticsearch,documentation,,,0,,,,,,"It seems I forgot about those when I wrote the migration guide.



See [https://discourse.hibernate.org/t/what-are-the-equivalent-properties-added-in-hibernate-search-6/6137|https://discourse.hibernate.org/t/what-are-the-equivalent-properties-added-in-hibernate-search-6/6137|smart-link] ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,true,0.0,yrodiere(fenrhil),,,,,,,,,0|102zq1:,,,,,,HSEARCH - 2022-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A faire,,
@Audited or @AuditTable annotation to hold configuration for specifying a custom FK name for the constraint of the audit table to the main revisions table,HHH-15116,72054,,Amélioration,Ouvert,HHH,Hibernate ORM,software,Steve Ebersole,557058:aafa2e9a-7a21-4c62-bf4a-050acb31276c,"Project for tracking issues with Hibernate ORM, from version 3 onward. ",http://www.hibernate.org/orm/,Important,,Vincent Jansen,557058:93fc9125-c25f-48bf-bf99-e919954a6659,Momchil Milev,557058:1bf47599-39c7-4fec-9ca7-e1406636015c,Momchil Milev,557058:1bf47599-39c7-4fec-9ca7-e1406636015c,10/mars/2022 07:51 AM,11/mars/2022 05:44 AM,14/mars/2022 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"It would be nice if it would be able to specify a custom name for the FK constraint of the entity_aud table to the main revisions table (rev → id). Currently, it generates a hashed string with FK prefix.

{code:java}...
@Audited()
@AuditTable(
    @JoinColumn(name = ""custom_entity_rev"", referencedColumnName = ""id"", foreignKey = @ForeignKey(name = ""fk_custom_entity_rev_revisions_id""))
)
@AuditJoinTable()
public class CustomEntity {

}{code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,true,0.0,ug:1ec26c0c-c870-45c9-bfef-25d4d59bbcd9(ug:1ec26c0c-c870-45c9-bfef-25d4d59bbcd9),ug:1d498424-fe81-4ac4-a6b6-2557d283e0f4(ug:1d498424-fe81-4ac4-a6b6-2557d283e0f4),,,,,,,,0|104yhs:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A faire,,
Deleting an entity with Joined inheritance and default schema set is throwing and error,HHH-15115,72053,,Bug,Résolu,HHH,Hibernate ORM,software,Steve Ebersole,557058:aafa2e9a-7a21-4c62-bf4a-050acb31276c,"Project for tracking issues with Hibernate ORM, from version 3 onward. ",http://www.hibernate.org/orm/,Important,Corrigé,Andrea Boriero,557058:8ce9ebec-e8f7-4cb9-b414-ea2ae49591e3,Adrian Derevenschi,557058:e5776fbe-2dae-4371-b56a-6ebde7147800,Adrian Derevenschi,557058:e5776fbe-2dae-4371-b56a-6ebde7147800,09/mars/2022 07:31 AM,11/mars/2022 02:38 AM,14/mars/2022 12:54 PM,11/mars/2022 02:38 AM,5.6.2,5.6.3,5.6.4,5.6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6.6,,,,,,,,,hibernate-core,,,,0,,,,,,"Hello,

While upgrading to hibernate 5.6.5 I have noticed a strange scenario that occurs on deleting only when you have entities with Joined inheritance and default schema set.

While debugging, I saw that hibernate tries to execute the following queries:



{code:sql}create temporary  table HT_table1 (id int8 not null) ;

insert into myDefaultSchema.HT_table1 select .....;

DROP table HT_table1;{code}



I compared with how hibernate (5.4.x) was previously generating those queries and the difference is that now it’s adding the default schema to the insert statement, which results in an exception.

Taking a look in your code, I discovered that the issue originates in org.hibernate.hql.spi.id.local.LocalTemporaryTableBulkIdStrategy, buildIdTableInfo method. Starting with version 5.6.2, the code that sets the idTableName was changed from:



{noformat}jdbcServices.getJdbcEnvironment().getQualifiedObjectNameFormatter().format(idTable.getQualifiedTableName(), jdbcServices.getJdbcEnvironment().getDialect()){noformat}

to:

{noformat}sqlStringGenerationContext.format(idTable.getQualifiedTableName()){noformat}

and sqlStringGenerationContext is adding the default schema.



Thanks for looking into that\!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bug reports should generally be accompanied by [a test case|https://github.com/hibernate/hibernate-test-case-templates]!,,"{pullrequest={dataType=pullrequest, state=OPEN, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2022-03-12T05:02:22.000-0800"",""stateCount"":1,""state"":""OPEN"",""dataType"":""pullrequest"",""open"":true},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,true,0.0,ug:099d3fe2-a55a-417b-8fb2-478bc138ad8b(ug:099d3fe2-a55a-417b-8fb2-478bc138ad8b),dreab8(dreab8),,,,,,,,0|104yhk:,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6.1,,,,,,,,,,,,,,,,,,,,,Terminé,,
Use a (safer) helper to set system properties in tests,HSEARCH-4507,72052,,Tâche,Résolu,HSEARCH,Hibernate Search,software,Yoann Rodière,557058:58fa1ced-171a-4c00-97e8-5d70d442cc4b,Hibernate Search: Apache Lucene(tm) and Elasticsearch integration,http://hibernate.org/search/,Important,Corrigé,Yoann Rodière,557058:58fa1ced-171a-4c00-97e8-5d70d442cc4b,Yoann Rodière,557058:58fa1ced-171a-4c00-97e8-5d70d442cc4b,Yoann Rodière,557058:58fa1ced-171a-4c00-97e8-5d70d442cc4b,09/mars/2022 04:59 AM,09/mars/2022 06:33 AM,14/mars/2022 12:54 PM,09/mars/2022 06:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2.0.Alpha1,,,,,,,,,tests,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2022-03-09T06:33:44.000-0800"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,true,0.0,yrodiere(fenrhil),,,,,,,,https://github.com/hibernate/hibernate-search/pull/2936,0|104xn3:zzx,,,,,,HSEARCH - 2022-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminé,,
Upgrade to Elasticsearch client 8.1.0,HSEARCH-4506,72051,,Amélioration,Résolu,HSEARCH,Hibernate Search,software,Yoann Rodière,557058:58fa1ced-171a-4c00-97e8-5d70d442cc4b,Hibernate Search: Apache Lucene(tm) and Elasticsearch integration,http://hibernate.org/search/,Important,Corrigé,Yoann Rodière,557058:58fa1ced-171a-4c00-97e8-5d70d442cc4b,Yoann Rodière,557058:58fa1ced-171a-4c00-97e8-5d70d442cc4b,Yoann Rodière,557058:58fa1ced-171a-4c00-97e8-5d70d442cc4b,09/mars/2022 02:02 AM,09/mars/2022 04:24 AM,14/mars/2022 12:54 PM,09/mars/2022 04:24 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2.0.Alpha1,,,,,,,,,backend-elasticsearch,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2022-03-09T04:24:40.000-0800"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,true,0.0,yrodiere(fenrhil),,,,,,,,https://github.com/hibernate/hibernate-search/pull/2935,0|104xn3:zzt,,,,,,HSEARCH - 2022-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminé,,
Add compatibility with Elasticsearch 8.1.0,HSEARCH-4505,72048,,Amélioration,Ouvert,HSEARCH,Hibernate Search,software,Yoann Rodière,557058:58fa1ced-171a-4c00-97e8-5d70d442cc4b,Hibernate Search: Apache Lucene(tm) and Elasticsearch integration,http://hibernate.org/search/,Important,,,,Yoann Rodière,557058:58fa1ced-171a-4c00-97e8-5d70d442cc4b,Yoann Rodière,557058:58fa1ced-171a-4c00-97e8-5d70d442cc4b,08/mars/2022 23:08 PM,08/mars/2022 23:08 PM,14/mars/2022 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2-backlog,,,,,,,,,backend-elasticsearch,,,,0,,,,,,[https://www.elastic.co/guide/en/elasticsearch/reference/8.1/release-highlights.html?elektra=stack-and-cloud-8-1-blog#doc_values_only_search_on_numeric_date_keyword_ip_boolean_fields|https://www.elastic.co/guide/en/elasticsearch/reference/8.1/release-highlights.html?elektra=stack-and-cloud-8-1-blog#doc_values_only_search_on_numeric_date_keyword_ip_boolean_fields|smart-link] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,true,0.0,yrodiere(fenrhil),,,,,,,,,0|102zq2:,,,,,,HSEARCH - 2022-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A faire,,
Clean up deprecations,HHH-15114,72047,,Tâche,Fermée,HHH,Hibernate ORM,software,Steve Ebersole,557058:aafa2e9a-7a21-4c62-bf4a-050acb31276c,"Project for tracking issues with Hibernate ORM, from version 3 onward. ",http://www.hibernate.org/orm/,Important,Corrigé,Jan Schatteman,557058:d2e3c0d7-28e0-4bde-9d33-5380e446ab06,Steve Ebersole,557058:aafa2e9a-7a21-4c62-bf4a-050acb31276c,Steve Ebersole,557058:aafa2e9a-7a21-4c62-bf4a-050acb31276c,08/mars/2022 16:39 PM,08/mars/2022 19:20 PM,14/mars/2022 12:54 PM,08/mars/2022 18:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0.0.CR2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=DECLINED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2022-03-14T01:59:36.000-0700"",""stateCount"":1,""state"":""DECLINED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,true,0.0,jschatte(jschatte),steve(steve),,,,,,,,0|104ygw:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminé,,
